# User:                           Version:                     Date:           Time:         

                                                                                                                                                               
CASE                                 1              2              3              4              5              6              7              8              9 
Sh.pwrOut                -1.64409E-002  -1.74325E-002  -1.84805E-002  -1.95910E-002  -2.07743E-002  -2.20440E-002  -2.34249E-002  -2.49588E-002  -2.67336E-002 
Sh.pwrNet                -1.64409E-002  -1.74325E-002  -1.84805E-002  -1.95910E-002  -2.07743E-002  -2.20440E-002  -2.34249E-002  -2.49588E-002  -2.67336E-002 
Sh.trqIn                       0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000 
Sh.trqOut                    -43.91580      -46.56436      -49.36372      -52.33021      -55.49084      -58.88243      -62.57103      -66.66818      -71.40897 
Sh.trqNet                    -43.91580      -46.56436      -49.36372      -52.33021      -55.49084      -58.88243      -62.57103      -66.66818      -71.40897 
Sh.Nmech                    3575.00000     3575.00000     3575.00000     3575.00000     3575.00000     3575.00000     3575.00000     3575.00000     3575.00000 
Cooler.switchHeat                 TEMP           TEMP           TEMP           TEMP           TEMP           TEMP           TEMP           TEMP           TEMP 
Cooler.coolerMode                 None           None           None           None           None           None           None           None           None 
Cooler.dT                   -273.89027     -273.89994     -273.90685     -273.91588     -273.91914     -273.92521     -273.92711     -273.92791     -273.93001 
Cooler.dTsat                -273.70368     -273.70558     -273.70566     -273.70865     -273.70661     -273.70812     -273.70622     -273.70418     -273.70491 
